in_chans,out_chans,kernel_h,kernel_w,input_h,input_w,stride_h,stride_w,padding_h,padding_w,groups,output_h,output_w,dilation_h,dilation_w
3,64,7,7,224,224,2,2,3,3,1,112,112,1,1
64,128,1,1,56,56,1,1,0,0,1,56,56,1,1
128,32,3,3,56,56,1,1,1,1,1,56,56,1,1
96,128,1,1,56,56,1,1,0,0,1,56,56,1,1
128,32,3,3,56,56,1,1,1,1,1,56,56,1,1
128,128,1,1,56,56,1,1,0,0,1,56,56,1,1
128,32,3,3,56,56,1,1,1,1,1,56,56,1,1
160,128,1,1,56,56,1,1,0,0,1,56,56,1,1
128,32,3,3,56,56,1,1,1,1,1,56,56,1,1
192,128,1,1,56,56,1,1,0,0,1,56,56,1,1
128,32,3,3,56,56,1,1,1,1,1,56,56,1,1
224,128,1,1,56,56,1,1,0,0,1,56,56,1,1
128,32,3,3,56,56,1,1,1,1,1,56,56,1,1
256,128,1,1,56,56,1,1,0,0,1,56,56,1,1
128,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,32,3,3,28,28,1,1,1,1,1,28,28,1,1
160,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,32,3,3,28,28,1,1,1,1,1,28,28,1,1
192,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,32,3,3,28,28,1,1,1,1,1,28,28,1,1
224,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,32,3,3,28,28,1,1,1,1,1,28,28,1,1
256,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,32,3,3,28,28,1,1,1,1,1,28,28,1,1
288,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,32,3,3,28,28,1,1,1,1,1,28,28,1,1
320,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,32,3,3,28,28,1,1,1,1,1,28,28,1,1
352,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,32,3,3,28,28,1,1,1,1,1,28,28,1,1
384,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,32,3,3,28,28,1,1,1,1,1,28,28,1,1
416,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,32,3,3,28,28,1,1,1,1,1,28,28,1,1
448,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,32,3,3,28,28,1,1,1,1,1,28,28,1,1
480,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,32,3,3,28,28,1,1,1,1,1,28,28,1,1
512,256,1,1,28,28,1,1,0,0,1,28,28,1,1
256,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,32,3,3,14,14,1,1,1,1,1,14,14,1,1
288,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,32,3,3,14,14,1,1,1,1,1,14,14,1,1
320,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,32,3,3,14,14,1,1,1,1,1,14,14,1,1
352,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,32,3,3,14,14,1,1,1,1,1,14,14,1,1
384,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,32,3,3,14,14,1,1,1,1,1,14,14,1,1
416,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,32,3,3,14,14,1,1,1,1,1,14,14,1,1
448,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,32,3,3,14,14,1,1,1,1,1,14,14,1,1
480,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,32,3,3,14,14,1,1,1,1,1,14,14,1,1
512,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,32,3,3,14,14,1,1,1,1,1,14,14,1,1
544,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,32,3,3,14,14,1,1,1,1,1,14,14,1,1
576,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,32,3,3,14,14,1,1,1,1,1,14,14,1,1
608,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,32,3,3,14,14,1,1,1,1,1,14,14,1,1
640,128,1,1,14,14,1,1,0,0,1,14,14,1,1
