in_chans,out_chans,kernel_h,kernel_w,input_h,input_w,stride_h,stride_w,padding_h,padding_w,groups,output_h,output_w,dilation_h,dilation_w
3,32,3,3,224,224,2,2,0,0,1,111,111,1,1
32,32,3,3,111,111,1,1,0,0,1,109,109,1,1
32,64,3,3,109,109,1,1,1,1,1,109,109,1,1
64,80,1,1,54,54,1,1,0,0,1,54,54,1,1
80,192,3,3,54,54,1,1,0,0,1,52,52,1,1
192,64,1,1,25,25,1,1,0,0,1,25,25,1,1
192,48,1,1,25,25,1,1,0,0,1,25,25,1,1
48,64,5,5,25,25,1,1,2,2,1,25,25,1,1
192,64,1,1,25,25,1,1,0,0,1,25,25,1,1
64,96,3,3,25,25,1,1,1,1,1,25,25,1,1
96,96,3,3,25,25,1,1,1,1,1,25,25,1,1
192,32,1,1,25,25,1,1,0,0,1,25,25,1,1
256,64,1,1,25,25,1,1,0,0,1,25,25,1,1
256,48,1,1,25,25,1,1,0,0,1,25,25,1,1
48,64,5,5,25,25,1,1,2,2,1,25,25,1,1
256,64,1,1,25,25,1,1,0,0,1,25,25,1,1
64,96,3,3,25,25,1,1,1,1,1,25,25,1,1
96,96,3,3,25,25,1,1,1,1,1,25,25,1,1
256,64,1,1,25,25,1,1,0,0,1,25,25,1,1
288,64,1,1,25,25,1,1,0,0,1,25,25,1,1
288,48,1,1,25,25,1,1,0,0,1,25,25,1,1
48,64,5,5,25,25,1,1,2,2,1,25,25,1,1
288,64,1,1,25,25,1,1,0,0,1,25,25,1,1
64,96,3,3,25,25,1,1,1,1,1,25,25,1,1
96,96,3,3,25,25,1,1,1,1,1,25,25,1,1
288,64,1,1,25,25,1,1,0,0,1,25,25,1,1
288,384,3,3,25,25,2,2,0,0,1,12,12,1,1
288,64,1,1,25,25,1,1,0,0,1,25,25,1,1
64,96,3,3,25,25,1,1,1,1,1,25,25,1,1
96,96,3,3,25,25,2,2,0,0,1,12,12,1,1
768,192,1,1,12,12,1,1,0,0,1,12,12,1,1
768,128,1,1,12,12,1,1,0,0,1,12,12,1,1
128,128,1,7,12,12,1,1,0,3,1,12,12,1,1
128,192,7,1,12,12,1,1,3,0,1,12,12,1,1
768,128,1,1,12,12,1,1,0,0,1,12,12,1,1
128,128,7,1,12,12,1,1,3,0,1,12,12,1,1
128,128,1,7,12,12,1,1,0,3,1,12,12,1,1
128,128,7,1,12,12,1,1,3,0,1,12,12,1,1
128,192,1,7,12,12,1,1,0,3,1,12,12,1,1
768,192,1,1,12,12,1,1,0,0,1,12,12,1,1
768,192,1,1,12,12,1,1,0,0,1,12,12,1,1
768,160,1,1,12,12,1,1,0,0,1,12,12,1,1
160,160,1,7,12,12,1,1,0,3,1,12,12,1,1
160,192,7,1,12,12,1,1,3,0,1,12,12,1,1
768,160,1,1,12,12,1,1,0,0,1,12,12,1,1
160,160,7,1,12,12,1,1,3,0,1,12,12,1,1
160,160,1,7,12,12,1,1,0,3,1,12,12,1,1
160,160,7,1,12,12,1,1,3,0,1,12,12,1,1
160,192,1,7,12,12,1,1,0,3,1,12,12,1,1
768,192,1,1,12,12,1,1,0,0,1,12,12,1,1
768,192,1,1,12,12,1,1,0,0,1,12,12,1,1
768,160,1,1,12,12,1,1,0,0,1,12,12,1,1
160,160,1,7,12,12,1,1,0,3,1,12,12,1,1
160,192,7,1,12,12,1,1,3,0,1,12,12,1,1
768,160,1,1,12,12,1,1,0,0,1,12,12,1,1
160,160,7,1,12,12,1,1,3,0,1,12,12,1,1
160,160,1,7,12,12,1,1,0,3,1,12,12,1,1
160,160,7,1,12,12,1,1,3,0,1,12,12,1,1
160,192,1,7,12,12,1,1,0,3,1,12,12,1,1
768,192,1,1,12,12,1,1,0,0,1,12,12,1,1
768,192,1,1,12,12,1,1,0,0,1,12,12,1,1
768,192,1,1,12,12,1,1,0,0,1,12,12,1,1
192,192,1,7,12,12,1,1,0,3,1,12,12,1,1
192,192,7,1,12,12,1,1,3,0,1,12,12,1,1
768,192,1,1,12,12,1,1,0,0,1,12,12,1,1
192,192,7,1,12,12,1,1,3,0,1,12,12,1,1
192,192,1,7,12,12,1,1,0,3,1,12,12,1,1
192,192,7,1,12,12,1,1,3,0,1,12,12,1,1
192,192,1,7,12,12,1,1,0,3,1,12,12,1,1
768,192,1,1,12,12,1,1,0,0,1,12,12,1,1
768,192,1,1,12,12,1,1,0,0,1,12,12,1,1
192,320,3,3,12,12,2,2,0,0,1,5,5,1,1
768,192,1,1,12,12,1,1,0,0,1,12,12,1,1
192,192,1,7,12,12,1,1,0,3,1,12,12,1,1
192,192,7,1,12,12,1,1,3,0,1,12,12,1,1
192,192,3,3,12,12,2,2,0,0,1,5,5,1,1
1280,320,1,1,5,5,1,1,0,0,1,5,5,1,1
1280,384,1,1,5,5,1,1,0,0,1,5,5,1,1
384,384,1,3,5,5,1,1,0,1,1,5,5,1,1
384,384,3,1,5,5,1,1,1,0,1,5,5,1,1
1280,448,1,1,5,5,1,1,0,0,1,5,5,1,1
448,384,3,3,5,5,1,1,1,1,1,5,5,1,1
384,384,1,3,5,5,1,1,0,1,1,5,5,1,1
384,384,3,1,5,5,1,1,1,0,1,5,5,1,1
1280,192,1,1,5,5,1,1,0,0,1,5,5,1,1
2048,320,1,1,5,5,1,1,0,0,1,5,5,1,1
2048,384,1,1,5,5,1,1,0,0,1,5,5,1,1
384,384,1,3,5,5,1,1,0,1,1,5,5,1,1
384,384,3,1,5,5,1,1,1,0,1,5,5,1,1
2048,448,1,1,5,5,1,1,0,0,1,5,5,1,1
448,384,3,3,5,5,1,1,1,1,1,5,5,1,1
384,384,1,3,5,5,1,1,0,1,1,5,5,1,1
384,384,3,1,5,5,1,1,1,0,1,5,5,1,1
2048,192,1,1,5,5,1,1,0,0,1,5,5,1,1
