in_chans,out_chans,kernel_h,kernel_w,input_h,input_w,stride_h,stride_w,padding_h,padding_w,groups,output_h,output_w,dilation_h,dilation_w
3,64,7,7,800,800,2,2,3,3,1,400,400,1,1
64,64,1,1,200,200,1,1,0,0,1,200,200,1,1
64,64,3,3,200,200,1,1,1,1,1,200,200,1,1
64,256,1,1,200,200,1,1,0,0,1,200,200,1,1
64,256,1,1,200,200,1,1,0,0,1,200,200,1,1
256,64,1,1,200,200,1,1,0,0,1,200,200,1,1
64,64,3,3,200,200,1,1,1,1,1,200,200,1,1
64,256,1,1,200,200,1,1,0,0,1,200,200,1,1
256,64,1,1,200,200,1,1,0,0,1,200,200,1,1
64,64,3,3,200,200,1,1,1,1,1,200,200,1,1
64,256,1,1,200,200,1,1,0,0,1,200,200,1,1
256,128,1,1,200,200,1,1,0,0,1,200,200,1,1
128,128,3,3,200,200,2,2,1,1,1,100,100,1,1
128,512,1,1,100,100,1,1,0,0,1,100,100,1,1
256,512,1,1,200,200,2,2,0,0,1,100,100,1,1
512,128,1,1,100,100,1,1,0,0,1,100,100,1,1
128,128,3,3,100,100,1,1,1,1,1,100,100,1,1
128,512,1,1,100,100,1,1,0,0,1,100,100,1,1
512,128,1,1,100,100,1,1,0,0,1,100,100,1,1
128,128,3,3,100,100,1,1,1,1,1,100,100,1,1
128,512,1,1,100,100,1,1,0,0,1,100,100,1,1
512,128,1,1,100,100,1,1,0,0,1,100,100,1,1
128,128,3,3,100,100,1,1,1,1,1,100,100,1,1
128,512,1,1,100,100,1,1,0,0,1,100,100,1,1
512,256,1,1,100,100,1,1,0,0,1,100,100,1,1
256,256,3,3,100,100,2,2,1,1,1,50,50,1,1
256,1024,1,1,50,50,1,1,0,0,1,50,50,1,1
512,1024,1,1,100,100,2,2,0,0,1,50,50,1,1
1024,256,1,1,50,50,1,1,0,0,1,50,50,1,1
256,256,3,3,50,50,1,1,1,1,1,50,50,1,1
256,1024,1,1,50,50,1,1,0,0,1,50,50,1,1
1024,256,1,1,50,50,1,1,0,0,1,50,50,1,1
256,256,3,3,50,50,1,1,1,1,1,50,50,1,1
256,1024,1,1,50,50,1,1,0,0,1,50,50,1,1
1024,256,1,1,50,50,1,1,0,0,1,50,50,1,1
256,256,3,3,50,50,1,1,1,1,1,50,50,1,1
256,1024,1,1,50,50,1,1,0,0,1,50,50,1,1
1024,256,1,1,50,50,1,1,0,0,1,50,50,1,1
256,256,3,3,50,50,1,1,1,1,1,50,50,1,1
256,1024,1,1,50,50,1,1,0,0,1,50,50,1,1
1024,256,1,1,50,50,1,1,0,0,1,50,50,1,1
256,256,3,3,50,50,1,1,1,1,1,50,50,1,1
256,1024,1,1,50,50,1,1,0,0,1,50,50,1,1
1024,512,1,1,50,50,1,1,0,0,1,50,50,1,1
512,512,3,3,50,50,2,2,1,1,1,25,25,1,1
512,2048,1,1,25,25,1,1,0,0,1,25,25,1,1
1024,2048,1,1,50,50,2,2,0,0,1,25,25,1,1
2048,512,1,1,25,25,1,1,0,0,1,25,25,1,1
512,512,3,3,25,25,1,1,1,1,1,25,25,1,1
512,2048,1,1,25,25,1,1,0,0,1,25,25,1,1
2048,512,1,1,25,25,1,1,0,0,1,25,25,1,1
512,512,3,3,25,25,1,1,1,1,1,25,25,1,1
512,2048,1,1,25,25,1,1,0,0,1,25,25,1,1
2048,256,1,1,25,25,1,1,0,0,1,25,25,1,1
256,256,3,3,25,25,1,1,1,1,1,25,25,1,1
1024,256,1,1,50,50,1,1,0,0,1,50,50,1,1
256,256,3,3,50,50,1,1,1,1,1,50,50,1,1
512,256,1,1,100,100,1,1,0,0,1,100,100,1,1
256,256,3,3,100,100,1,1,1,1,1,100,100,1,1
256,256,1,1,200,200,1,1,0,0,1,200,200,1,1
256,256,3,3,200,200,1,1,1,1,1,200,200,1,1
256,256,3,3,200,200,1,1,1,1,1,200,200,1,1
256,3,1,1,200,200,1,1,0,0,1,200,200,1,1
256,12,1,1,200,200,1,1,0,0,1,200,200,1,1
256,256,3,3,100,100,1,1,1,1,1,100,100,1,1
256,3,1,1,100,100,1,1,0,0,1,100,100,1,1
256,12,1,1,100,100,1,1,0,0,1,100,100,1,1
256,256,3,3,50,50,1,1,1,1,1,50,50,1,1
256,3,1,1,50,50,1,1,0,0,1,50,50,1,1
256,12,1,1,50,50,1,1,0,0,1,50,50,1,1
256,256,3,3,25,25,1,1,1,1,1,25,25,1,1
256,3,1,1,25,25,1,1,0,0,1,25,25,1,1
256,12,1,1,25,25,1,1,0,0,1,25,25,1,1
256,256,3,3,13,13,1,1,1,1,1,13,13,1,1
256,3,1,1,13,13,1,1,0,0,1,13,13,1,1
256,12,1,1,13,13,1,1,0,0,1,13,13,1,1
256,256,3,3,14,14,1,1,1,1,1,14,14,1,1
256,256,3,3,14,14,1,1,1,1,1,14,14,1,1
256,256,3,3,14,14,1,1,1,1,1,14,14,1,1
256,256,3,3,14,14,1,1,1,1,1,14,14,1,1
256,91,1,1,28,28,1,1,0,0,1,28,28,1,1
