in_chans,out_chans,kernel_h,kernel_w,input_h,input_w,stride_h,stride_w,padding_h,padding_w,groups,output_h,output_w,dilation_h,dilation_w
3,32,3,3,224,224,2,2,1,1,1,112,112,1,1
32,32,3,3,112,112,1,1,1,1,32,112,112,1,1
32,16,1,1,112,112,1,1,0,0,1,112,112,1,1
16,96,1,1,112,112,1,1,0,0,1,112,112,1,1
96,96,3,3,112,112,2,2,1,1,96,56,56,1,1
96,24,1,1,56,56,1,1,0,0,1,56,56,1,1
24,144,1,1,56,56,1,1,0,0,1,56,56,1,1
144,144,3,3,56,56,1,1,1,1,144,56,56,1,1
144,24,1,1,56,56,1,1,0,0,1,56,56,1,1
24,144,1,1,56,56,1,1,0,0,1,56,56,1,1
144,144,3,3,56,56,2,2,1,1,144,28,28,1,1
144,32,1,1,28,28,1,1,0,0,1,28,28,1,1
32,192,1,1,28,28,1,1,0,0,1,28,28,1,1
192,192,3,3,28,28,1,1,1,1,192,28,28,1,1
192,32,1,1,28,28,1,1,0,0,1,28,28,1,1
32,192,1,1,28,28,1,1,0,0,1,28,28,1,1
192,192,3,3,28,28,1,1,1,1,192,28,28,1,1
192,32,1,1,28,28,1,1,0,0,1,28,28,1,1
32,192,1,1,28,28,1,1,0,0,1,28,28,1,1
192,192,3,3,28,28,2,2,1,1,192,14,14,1,1
192,64,1,1,14,14,1,1,0,0,1,14,14,1,1
64,384,1,1,14,14,1,1,0,0,1,14,14,1,1
384,384,3,3,14,14,1,1,1,1,384,14,14,1,1
384,64,1,1,14,14,1,1,0,0,1,14,14,1,1
64,384,1,1,14,14,1,1,0,0,1,14,14,1,1
384,384,3,3,14,14,1,1,1,1,384,14,14,1,1
384,64,1,1,14,14,1,1,0,0,1,14,14,1,1
64,384,1,1,14,14,1,1,0,0,1,14,14,1,1
384,384,3,3,14,14,1,1,1,1,384,14,14,1,1
384,64,1,1,14,14,1,1,0,0,1,14,14,1,1
64,384,1,1,14,14,1,1,0,0,1,14,14,1,1
384,384,3,3,14,14,1,1,1,1,384,14,14,1,1
384,96,1,1,14,14,1,1,0,0,1,14,14,1,1
96,576,1,1,14,14,1,1,0,0,1,14,14,1,1
576,576,3,3,14,14,1,1,1,1,576,14,14,1,1
576,96,1,1,14,14,1,1,0,0,1,14,14,1,1
96,576,1,1,14,14,1,1,0,0,1,14,14,1,1
576,576,3,3,14,14,1,1,1,1,576,14,14,1,1
576,96,1,1,14,14,1,1,0,0,1,14,14,1,1
96,576,1,1,14,14,1,1,0,0,1,14,14,1,1
576,576,3,3,14,14,2,2,1,1,576,7,7,1,1
576,160,1,1,7,7,1,1,0,0,1,7,7,1,1
160,960,1,1,7,7,1,1,0,0,1,7,7,1,1
960,960,3,3,7,7,1,1,1,1,960,7,7,1,1
960,160,1,1,7,7,1,1,0,0,1,7,7,1,1
160,960,1,1,7,7,1,1,0,0,1,7,7,1,1
960,960,3,3,7,7,1,1,1,1,960,7,7,1,1
960,160,1,1,7,7,1,1,0,0,1,7,7,1,1
160,960,1,1,7,7,1,1,0,0,1,7,7,1,1
960,960,3,3,7,7,1,1,1,1,960,7,7,1,1
960,320,1,1,7,7,1,1,0,0,1,7,7,1,1
320,1280,1,1,7,7,1,1,0,0,1,7,7,1,1
