in_chans,out_chans,kernel_h,kernel_w,input_h,input_w,stride_h,stride_w,padding_h,padding_w,groups,output_h,output_w,dilation_h,dilation_w
3,96,7,7,224,224,2,2,0,0,1,109,109,1,1
96,16,1,1,54,54,1,1,0,0,1,54,54,1,1
16,64,1,1,54,54,1,1,0,0,1,54,54,1,1
16,64,3,3,54,54,1,1,1,1,1,54,54,1,1
128,16,1,1,54,54,1,1,0,0,1,54,54,1,1
16,64,1,1,54,54,1,1,0,0,1,54,54,1,1
16,64,3,3,54,54,1,1,1,1,1,54,54,1,1
128,32,1,1,54,54,1,1,0,0,1,54,54,1,1
32,128,1,1,54,54,1,1,0,0,1,54,54,1,1
32,128,3,3,54,54,1,1,1,1,1,54,54,1,1
256,32,1,1,27,27,1,1,0,0,1,27,27,1,1
32,128,1,1,27,27,1,1,0,0,1,27,27,1,1
32,128,3,3,27,27,1,1,1,1,1,27,27,1,1
256,48,1,1,27,27,1,1,0,0,1,27,27,1,1
48,192,1,1,27,27,1,1,0,0,1,27,27,1,1
48,192,3,3,27,27,1,1,1,1,1,27,27,1,1
384,48,1,1,27,27,1,1,0,0,1,27,27,1,1
48,192,1,1,27,27,1,1,0,0,1,27,27,1,1
48,192,3,3,27,27,1,1,1,1,1,27,27,1,1
384,64,1,1,27,27,1,1,0,0,1,27,27,1,1
64,256,1,1,27,27,1,1,0,0,1,27,27,1,1
64,256,3,3,27,27,1,1,1,1,1,27,27,1,1
512,64,1,1,13,13,1,1,0,0,1,13,13,1,1
64,256,1,1,13,13,1,1,0,0,1,13,13,1,1
64,256,3,3,13,13,1,1,1,1,1,13,13,1,1
512,1000,1,1,13,13,1,1,0,0,1,13,13,1,1
