in_chans,out_chans,kernel_h,kernel_w,input_h,input_w,stride_h,stride_w,padding_h,padding_w,groups,output_h,output_w,dilation_h,dilation_w
3,64,3,3,300,300,1,1,1,1,1,300,300,1,1
64,64,3,3,300,300,1,1,1,1,1,300,300,1,1
64,128,3,3,150,150,1,1,1,1,1,150,150,1,1
128,128,3,3,150,150,1,1,1,1,1,150,150,1,1
128,256,3,3,75,75,1,1,1,1,1,75,75,1,1
256,256,3,3,75,75,1,1,1,1,1,75,75,1,1
256,256,3,3,75,75,1,1,1,1,1,75,75,1,1
256,512,3,3,38,38,1,1,1,1,1,38,38,1,1
512,512,3,3,38,38,1,1,1,1,1,38,38,1,1
512,512,3,3,38,38,1,1,1,1,1,38,38,1,1
512,512,3,3,19,19,1,1,1,1,1,19,19,1,1
512,512,3,3,19,19,1,1,1,1,1,19,19,1,1
512,512,3,3,19,19,1,1,1,1,1,19,19,1,1
1024,1024,1,1,19,19,1,1,0,0,1,19,19,1,1
1024,256,1,1,19,19,1,1,0,0,1,19,19,1,1
256,512,3,3,19,19,2,2,1,1,1,10,10,1,1
512,128,1,1,10,10,1,1,0,0,1,10,10,1,1
128,256,3,3,10,10,2,2,1,1,1,5,5,1,1
256,128,1,1,5,5,1,1,0,0,1,5,5,1,1
128,256,3,3,5,5,1,1,0,0,1,3,3,1,1
256,128,1,1,3,3,1,1,0,0,1,3,3,1,1
128,256,3,3,3,3,1,1,0,0,1,1,1,1,1
512,16,3,3,38,38,1,1,1,1,1,38,38,1,1
1024,24,3,3,19,19,1,1,1,1,1,19,19,1,1
512,24,3,3,10,10,1,1,1,1,1,10,10,1,1
256,24,3,3,5,5,1,1,1,1,1,5,5,1,1
256,16,3,3,3,3,1,1,1,1,1,3,3,1,1
256,16,3,3,1,1,1,1,1,1,1,1,1,1,1
512,364,3,3,38,38,1,1,1,1,1,38,38,1,1
1024,546,3,3,19,19,1,1,1,1,1,19,19,1,1
512,546,3,3,10,10,1,1,1,1,1,10,10,1,1
256,546,3,3,5,5,1,1,1,1,1,5,5,1,1
256,364,3,3,3,3,1,1,1,1,1,3,3,1,1
256,364,3,3,1,1,1,1,1,1,1,1,1,1,1
