in_chans,out_chans,kernel_h,kernel_w,input_h,input_w,stride_h,stride_w,padding_h,padding_w,groups,output_h,output_w,dilation_h,dilation_w
3,64,3,3,224,224,1,1,1,1,1,224,224,1,1
64,64,3,3,224,224,1,1,1,1,1,224,224,1,1
64,128,3,3,112,112,1,1,1,1,1,112,112,1,1
128,128,3,3,112,112,1,1,1,1,1,112,112,1,1
128,256,3,3,56,56,1,1,1,1,1,56,56,1,1
256,256,3,3,56,56,1,1,1,1,1,56,56,1,1
256,256,3,3,56,56,1,1,1,1,1,56,56,1,1
256,512,3,3,28,28,1,1,1,1,1,28,28,1,1
512,512,3,3,28,28,1,1,1,1,1,28,28,1,1
512,512,3,3,28,28,1,1,1,1,1,28,28,1,1
512,512,3,3,14,14,1,1,1,1,1,14,14,1,1
512,512,3,3,14,14,1,1,1,1,1,14,14,1,1
512,512,3,3,14,14,1,1,1,1,1,14,14,1,1
